2025-05-19 17:16:19 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:19 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:19 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:19 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:19 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:19 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:20 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:21 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:22 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
